Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money
"""They are truly incompetent""",No Aircraft,Couple Leisure,Economy Class,Manchester to Philadelphia,June 2017,2,1,1,2,2,1
"""attentive and good natured""",Boeing 787-9,Couple Leisure,First Class,Kuala Lumpur to London,June 2017,5,5,5,5,5,5
"""Baggage had not been loaded""",No Aircraft,Business,Economy Class,Frankfurt to London Heathrow,June 2017,2,2,No rating,No rating,1,1
"""Club World is now very tired and worn""",Boeing 747,Business,Business Class,Heathrow to Accra,June 2017,1,2,1,1,1,1
"""airline is a national disgrace""",No Aircraft,Couple Leisure,Business Class,London Heathrow to Seattle,June 2017,No rating,No rating,No rating,No rating,1,3
"""they are failing dismally""",A320,Solo Leisure,Economy Class,Mykonos to London,June 2017,3,1,1,No rating,3,1
"""I will no longer pick BA""",No Aircraft,Couple Leisure,Economy Class,Zurich to London Heathrow,June 2017,1,1,1,No rating,4,1
"""BA has lost the plot""",Boeing 767,Couple Leisure,Economy Class,Rome to Heathrow,June 2017,2,2,1,No rating,1,1
"""BA are going backwards""",Boeing 787,Couple Leisure,Business Class,Chennai to London,November 2016,2,2,3,4,2,2
"""Leg room was atrocious""",A321,Couple Leisure,Business Class,London Gatwick to Genoa,June 2017,1,4,1,No rating,4,2
"""now providing a very inferior product""",Boeing 777,Business,Business Class,Beijing to London Heathrow,June 2017,1,2,1,1,2,2
"""BA please admit your mistake""",No Aircraft,Couple Leisure,Economy Class,Corfu to London,June 2017,4,1,1,No rating,3,1
"""such bad customer service""",No Aircraft,Couple Leisure,Economy Class,Heathrow to Santorini,May 2017,1,1,No rating,No rating,1,1
"""has been hit by cost savings""",A319 / A380 / Boeing 737,Couple Leisure,Premium Economy,Leeds to Durban via London / Johannesburg,June 2017,4,4,4,4,4,4
"""such a miserly product""",No Aircraft,Solo Leisure,Economy Class,London Heathrow to Dublin,June 2017,5,5,3,No rating,1,2
"""time to pull up its socks""",No Aircraft,Business,Premium Economy,Bangkok to Luxembourg via London,June 2017,1,3,3,1,1,3
"""lack of honesty and transparency""",A319,Business,Economy Class,London Heathrow to Paris Orly,June 2017,2,2,No rating,No rating,1,1
"""inadequate for the money paid""",No Aircraft,Solo Leisure,Premium Economy,New York JFK to Copenhagen via Heathrow,June 2017,1,2,1,2,1,1
"""They should be ashamed of themselves""",No Aircraft,Business,Economy Class,London to Hamburg,May 2017,1,1,1,1,1,1
"""I cannot recommend this cabin""",A380-800,Solo Leisure,Premium Economy,Singapore to London Heathrow,June 2017,3,2,2,4,4,1
"""I am very disappointed""",No Aircraft,Business,Business Class,Singapore to London,June 2017,1,1,1,2,1,1
"""whether I continue my loyalty""",Boeing 777-200,Solo Leisure,Premium Economy,Toronto to London,May 2017,3,3,3,2,5,3
"""stupidity, bad management and poor service""",A320,Business,Economy Class,Dublin to Marseille via London,June 2017,1,1,1,1,1,1
"""crews very young, unprofessional""",A380,Business,Premium Economy,Johannesburg to London,June 2017,4,1,1,5,4,2
"""Boarding was a disaster""",A319,Couple Leisure,Business Class,Valencia to London Gatwick,June 2017,4,5,3,No rating,1,4
"""possibly my last BA flights""",A320 / Boeing 767,Business,Business Class,London to Edinburgh,June 2017,2,2,1,No rating,3,2
"""Meal service surprisingly good""",A319,Couple Leisure,Business Class,London Gatwick to Valencia,June 2017,4,5,4,No rating,4,4
"""service by a low-cost airline""",No Aircraft,Solo Leisure,Economy Class,Brussels to Rome via London,June 2017,2,1,No rating,No rating,3,4
"""cost cutting beyond belief""",Boeing 777-200,Couple Leisure,Premium Economy,Antigua to Gatwick,June 2017,1,1,1,1,1,1
"""third world experience""",Boeing 767,Solo Leisure,Business Class,London Heathrow to Madrid,June 2017,2,1,1,No rating,4,2
"""the same price as normal""",A319,Family Leisure,Business Class,Gatwick to Alicante,June 2017,3,5,4,No rating,5,5
"""decline across all classes""",Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Antigua,June 2017,1,2,1,1,2,2
"""a bare-bones airline""",E190,Business,Business Class,London City to Milan,June 2017,2,4,1,1,2,1
"""very little care of customers""",Boeing 747 & A319,Couple Leisure,Premium Economy,Boston to Geneva via Heathrow,June 2017,2,4,2,3,1,2
"""BA has gone downhill""",A320,Couple Leisure,Economy Class,Gatwick to Bordeaux,January 2017,1,2,1,No rating,1,1
"""a low cost experience""",Boeing 747-400,Business,Premium Economy,London to Boston,June 2017,1,3,1,1,1,1
"""like a low cost carrier""",A320,Family Leisure,Economy Class,Istanbul to London,May 2017,1,2,2,No rating,3,3
"""Terrible customer service""",No Aircraft,Business,Business Class,London to Mumbai,June 2017,No rating,No rating,No rating,No rating,1,1
"""BA is going in the wrong direction""",No Aircraft,Business,Business Class,Dusseldorf to London City,June 2017,1,1,No rating,No rating,2,1
"""a much lower standard than other airlines""",A380,Couple Leisure,Premium Economy,London Heathrow to Sydney via Singapore,April 2017,2,2,2,3,2,1
"""it's not really premium economy""",Boeing 777-300,Solo Leisure,Premium Economy,London Heathrow to Hong Kong,June 2017,4,4,4,4,5,2
"""BA now gone to the dogs""",Boeing 747,Family Leisure,First Class,London to Dubai,May 2017,3,5,2,2,1,1
"""one of the worst airlines""",A380,Business,Business Class,London to Vancouver,June 2017,2,1,1,3,4,1
"""Overall not recommended""",Boeing 787-9,Couple Leisure,Premium Economy,Tokyo to London Heathrow,June 2017,3,1,1,4,3,2
"""have become a long haul Ryanair""",Boeing 747,Family Leisure,Economy Class,Heathrow to Miami,June 2017,1,2,1,1,3,2
"""crew on both flights friendly and efficient""",A19,Couple Leisure,Economy Class,London Heathrow to Brussels,June 2017,4,4,No rating,No rating,5,4
"""from bad to worse""",No Aircraft,Business,Economy Class,London Heathrow to Lisbon,June 2017,2,3,1,No rating,1,1
"""BA is going to the dogs""",Boeing 777,Couple Leisure,Business Class,Lima to London Gatwick,May 2017,3,1,2,2,3,1
"""service on BA really is terrible""",A380-800,Couple Leisure,Economy Class,London to Johannesburg,June 2017,1,1,2,5,1,1
"""I'm sticking with them""",Boeing 747-400 / A320,Solo Leisure,Premium Economy,Washington to Sofia via London,May 2017,5,5,5,No rating,5,5
"""are not a 4 star airline""",No Aircraft,Couple Leisure,Economy Class,Edinburgh to Rome via Heathrow,June 2017,2,1,No rating,No rating,1,1
"""deteriorating service recently""",Boeing 767,Couple Leisure,Business Class,Rome to London Heathrow,May 2017,1,1,1,No rating,1,1
"""a total disappointment""",No Aircraft,Business,Economy Class,Tampa to Tirana via Gatwick,April 2017,2,3,1,1,3,2
"""this service is a joke""",Boeing 747-400,Business,Business Class,Chicago to London Heathrow,May 2017,1,1,1,4,1,1
"""won the race to the bottom""",A321,Couple Leisure,Economy Class,Gatwick to Funchal,May 2017,1,2,No rating,No rating,3,1
"""very evident cost cutting""",Boeing 787-9,Couple Leisure,First Class,London Heathrow to Tokyo Narita,May 2017,4,2,1,3,5,1
"""Absolute Cheapskates""",A320,Couple Leisure,Business Class,Luxembourg to London,May 2017,2,3,1,1,3,2
"""BA insisted I only had one bag allowance """,No Aircraft,Business,Premium Economy,Geneva to Dallas via Heathrow,May 2017,2,3,No rating,No rating,1,1
"""magic of our national carrier has gone""",A319,Family Leisure,Economy Class,Heathrow to Bergen,May 2017,3,2,1,1,2,1
"""wasn't worth the hassle for me""",Boeing 787-8,Business,Business Class,Seoul to London,May 2017,4,5,4,3,3,3
"""worst customer service""",No Aircraft,Business,Business Class,Los Angeles to London,May 2017,3,1,2,4,3,3
"""Cheapskate airline now""",No Aircraft,Solo Leisure,Economy Class,London Heathrow to Geneva,May 2017,2,5,No rating,No rating,1,1
"""business class is very cramped""",Boeing 777,Couple Leisure,Business Class,Gatwick to Lima,April 2017,4,4,4,2,3,4
"""no more than a budget carrier""",A320,Business,Business Class,London Heathrow to Santorini,May 2017,1,2,1,No rating,2,1
"""cost cutting may back fire""",A320,Solo Leisure,Economy Class,London Heathrow to Bilbao,April 2017,3,3,No rating,No rating,4,2
"""very disappointing experience """,No Aircraft,Couple Leisure,Economy Class,Madeira to Gatwick,May 2017,3,2,1,No rating,3,2
"""felt like budget airline""",No Aircraft,Business,Economy Class,Edinburgh to Gatwick,April 2017,3,2,No rating,No rating,3,3
"""abandoned us at Rome airport""",No Aircraft,Family Leisure,Economy Class,Rome to London,May 2017,1,1,No rating,No rating,1,1
"""little to no service""",Boeing 787-9,Solo Leisure,Economy Class,Kuala Lumpur to London,May 2017,4,1,1,5,5,4
"""The crew were amazing""",Boeing 787,Solo Leisure,Economy Class,London to Kuala Lumpur,May 2017,4,5,5,5,5,5
"""overall truly awful experience""",Boeing 747-400,Business,Business Class,London Heathrow to Miami,May 2017,2,4,1,1,1,1
"""attendents cordial and professional""",A321 / Boeing 777,Solo Leisure,Economy Class,Moscow to Houston via London,May 2017,3,3,3,3,3,4
"""BA have hit rock bottom""",A319,Business,Economy Class,London to Brussels,April 2017,3,4,No rating,1,4,2
"""it's basically a con""",No Aircraft,Solo Leisure,Economy Class,London Heathrow to Las Vegas,April 2017,1,1,3,3,3,1
"""a positive experience""",Boeing 747,Couple Leisure,Economy Class,London to San Francisco,May 2017,4,5,5,4,4,4
"""total lack of customer service""",No Aircraft,Family Leisure,Economy Class,London to Reykjavik,December 2016,No rating,No rating,No rating,No rating,1,1
"""expected service onboard""",A321 / Boeing 777-300,Couple Leisure,Economy Class,Amsterdam to Tokyo via London,April 2017,4,5,4,4,3,4
"""Overall very disappointing""",Boeing 777-200,Couple Leisure,Business Class,Antigua to Gatwick,May 2017,3,2,2,2,4,3
"""could not be less interested""",No Aircraft,Business,Economy Class,London to Amsterdam,May 2017,4,4,4,No rating,1,3
"""the crew were fantastic""",Boeing 777-200,Family Leisure,Economy Class,Orlando to Gatwick,May 2017,5,5,5,3,5,5
"""this relic of an airline""",No Aircraft,Business,Economy Class,London to Hong Kong,April 2017,No rating,No rating,No rating,No rating,1,1
"""Overall a good experience""",Boeing 777,Solo Leisure,Premium Economy,London to Toronto,May 2017,4,5,4,No rating,4,4
"""I have given up on avios""",No Aircraft,Business,Business Class,Mexico City to Copenhagen via London,May 2017,3,2,2,1,4,5
"""not improving where they should""",Boeing 787,Business,Business Class,London to Santiago de Chile,May 2017,3,4,2,4,3,3
"""getting a refund is a nightmare""",A320,Business,Economy Class,Gatwick to Amsterdam,February 2017,3,5,3,No rating,1,2
"""How far BA has sunk!""",Boeing 767,Couple Leisure,Economy Class,London Heathrow to Nice,April 2017,1,2,1,No rating,4,1
"""I was very disappointed""",No Aircraft,Solo Leisure,Economy Class,Athens to London,May 2017,3,3,1,2,3,2
"""BA has lost two loyal customers""",Boeing 747-400,Couple Leisure,Economy Class,London to Cape Town,April 2017,1,1,1,3,4,1
"""Good value if a free upgrade""",A320,Couple Leisure,Business Class,LHR to TXL,May 2017,4,5,5,No rating,5,5
"""not the BA that people once knew""",Boeing 777,Couple Leisure,Premium Economy,Rio de Janeiro to London,May 2017,1,1,1,1,1,1
"""staff could not have cared less""",A320,Business,Economy Class,London to Edinburgh,May 2017,2,1,No rating,No rating,1,1
"""service is consistently unacceptable""",No Aircraft,Couple Leisure,Economy Class,New York JFK to London,May 2017,1,1,1,No rating,1,1
"""the flight was enjoyable""",Boeing 777-300,Couple Leisure,Business Class,Gatwick to Antigua,April 2017,4,4,3,1,4,4
"""a very cheap offer to upgrade""",A320,Business,Business Class,Berlin Tegel to London,May 2017,3,5,3,2,4,4
"""my first choice out of City""",Embraer,Solo Leisure,Economy Class,London City to Bergerac,May 2017,3,4,3,No rating,3,4
"""Staff are polite and friendly""",No Aircraft,Business,Economy Class,"Manchester, UK to Billund, Denmark",May 2017,5,5,5,3,5,5
"""a surly disapproving stewardess""",Boeing 777 200/300,Business,Premium Economy,London Heathrow to Bangkok,April 2017,2,1,1,2,3,2
"""game over for me""",No Aircraft,Business,Business Class,Funchal to Edinburgh via Heathrow,April 2017,2,1,1,No rating,1,3
"""cost cutting affects all cabins""",A380 and Boeing 747,Couple Leisure,First Class,London Heathrow to Miami,April 2017,4,5,3,4,5,5
"""downgraded their economy service""",A380,Business,Economy Class,Singapore to London Heathrow,May 2017,3,4,3,4,5,4
"""So low cost. So over them""",A320,Solo Leisure,Economy Class,Nice to London Heathrow,March 2017,1,1,1,No rating,1,1
"""An absolute disgrace""",No Aircraft,Family Leisure,Economy Class,London to Male,March 2017,1,2,No rating,No rating,1,1
"""Rude and aggressive customer service""",No Aircraft,Solo Leisure,Economy Class,Rome to London Heathrow,May 2017,1,1,No rating,No rating,1,1
"""is simply a budget airline""",A320,Family Leisure,Economy Class,Keflavik to London,April 2017,1,1,No rating,1,1,1
"""a poor service all round """,Boeing 747-400,Couple Leisure,Premium Economy,Glasgow to Chicago via Heathrow,April 2017,1,3,2,1,3,1
"""I have lost my patience""",Boeing 777 200,Business,Business Class,Bahrain to Dublin via london,May 2017,No rating,No rating,No rating,No rating,1,1
"""Absolutely useless""",A319,Solo Leisure,Economy Class,London to Edinburgh,May 2017,3,1,1,No rating,4,1
"""never seen an airline deteriorate so quickly""",A320,Solo Leisure,Economy Class,London Heathrow to Vienna,April 2017,2,1,1,No rating,4,1
"""things are not as they were""",Boeing 777,Couple Leisure,Economy Class,Hong Kong to London Heathrow,May 2017,3,3,2,3,5,3
"""Service was an absolute shambles""",A320,Couple Leisure,Economy Class,London Heathrow to Budapest,April 2017,4,1,1,No rating,3,2
"""pleasant and enjoyable experience""",Boeing 767,Solo Leisure,Economy Class,Zürich to London,April 2017,4,5,No rating,No rating,4,4
"""should not call this business class""",No Aircraft,Solo Leisure,Business Class,Dublin to London,August 2016,1,3,1,No rating,2,1
"""friendly, attentive and helpful""",Boeing 777-200,Family Leisure,Economy Class,London Gatwick to Orlando,April 2017,5,5,4,4,5,5
"""what you expect from a budget carrier""",A321,Couple Leisure,Economy Class,Aberdeen to London,April 2017,3,2,1,No rating,3,1
"""on the edge of abandoning them""",No Aircraft,Business,Premium Economy,London to Toronto,April 2017,3,2,1,2,1,1
"""flight without a problem""",A380,Family Leisure,Economy Class,London to Boston,April 2017,5,5,5,5,4,4
"""avoid any 747 flight whenever possible""",Boeing 787-8,Couple Leisure,First Class,Newark to London Heathrow,April 2017,3,4,1,2,3,3
"""saved £10 for two bunch of flowers""",Boeing 777-200,Couple Leisure,First Class,London to Newark,April 2017,3,4,2,2,4,2
"""for once I had the meal""",A320,Couple Leisure,Business Class,Pisa to Gatwick,April 2017,2,4,4,No rating,2,2
"""friendly and efficient crew""",A380-800,Couple Leisure,Economy Class,Heathrow to San Francisco,February 2017,4,5,5,5,5,5
"""carrier has become a laughing stock""",No Aircraft,Couple Leisure,Economy Class,Berlin to London,April 2017,3,1,1,No rating,2,2
"""don't expect much nowadays from BA""",A319,Couple Leisure,Business Class,Gatwick to Pisa,April 2017,2,4,1,No rating,4,2
"""national carrier turned into the worst""",No Aircraft,Family Leisure,Economy Class,London Heathrow to Phoenix,April 2017,4,3,1,1,3,1
"""we shall be flying with you again""",Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,April 2017,5,5,5,5,5,4
"""pay extra to reserve the seats""",No Aircraft,Couple Leisure,Business Class,London Heathrow to Bangkok,April 2017,4,4,4,3,3,4
"""I prepared myself for the worst""",A380,Couple Leisure,Economy Class,Singapore to London Heathrow,April 2017,4,3,2,3,4,3
